0.48	 0.60	 S1
1.08	 1.20	 S1
1.74	 1.86	 S1
2.40	 2.52	 S1
3.02	 3.12	 S1
3.62	 3.76	 S1
4.28	 4.42	 S1
4.88	 5.00	 S1
5.52	 5.66	 S1
6.16	 6.30	 S1
6.76	 6.90	 S1
7.38	 7.52	 S1
8.02	 8.16	 S1
8.62	 8.74	 S1
8.92	 8.98	 S1
9.22	 9.36	 S1
9.82	 9.96	 S1
10.40	 10.54	 S1
11.00	 11.14	 S1
11.62	 11.76	 S1
12.20	 12.34	 S1
12.80	 12.94	 S1
13.40	 13.54	 S1
13.98	 14.12	 S1
14.60	 14.74	 S1
15.20	 15.34	 S1
15.78	 15.92	 S1
16.40	 16.54	 S1
17.02	 17.16	 S1
17.58	 17.72	 S1
18.18	 18.32	 S1
18.78	 18.92	 S1
19.34	 19.48	 S1
0.78	 0.88	 S2
1.38	 1.48	 S2
2.04	 2.14	 S2
2.70	 2.80	 S2
3.30	 3.40	 S2
3.94	 4.04	 S2
4.58	 4.68	 S2
5.18	 5.28	 S2
5.84	 5.94	 S2
6.48	 6.58	 S2
7.06	 7.16	 S2
7.70	 7.80	 S2
8.34	 8.44	 S2
9.52	 9.62	 S2
10.14	 10.24	 S2
10.70	 10.80	 S2
11.32	 11.42	 S2
12.50	 12.62	 S2
13.10	 13.20	 S2
13.70	 13.80	 S2
14.28	 14.38	 S2
14.94	 15.00	 S2
15.52	 15.62	 S2
16.08	 16.20	 S2
16.70	 16.80	 S2
17.32	 17.42	 S2
17.90	 18.00	 S2
18.48	 18.60	 S2
19.10	 19.20	 S2
19.66	 19.76	 S2
