0.26	 0.38	 S1
1.14	 1.22	 S1
2.32	 2.42	 S1
3.26	 3.36	 S1
4.50	 4.60	 S1
5.10	 5.28	 S1
5.62	 5.76	 S1
6.04	 6.14	 S1
6.44	 6.58	 S1
6.90	 6.98	 S1
7.28	 7.40	 S1
7.68	 7.80	 S1
7.90	 8.00	 S1
8.12	 8.22	 S1
8.54	 8.64	 S1
8.94	 9.02	 S1
9.18	 9.50	 S1
9.60	 9.70	 S1
10.22	 10.32	 S1
10.66	 10.72	 S1
11.06	 11.18	 S1
11.70	 11.76	 S1
12.34	 12.44	 S1
12.76	 12.86	 S1
13.60	 13.68	 S1
14.44	 14.54	 S1
14.70	 14.76	 S1
15.70	 15.88	 S1
16.66	 16.78	 S1
18.02	 18.14	 S1
18.38	 18.50	 S1
18.62	 18.70	 S1
18.78	 18.86	 S1
18.98	 19.06	 S1
19.56	 19.68	 S1
0.54	 0.62	 S2
3.50	 3.58	 S2
4.72	 4.82	 S2
5.36	 5.46	 S2
5.88	 5.98	 S2
12.56	 12.64	 S2
12.98	 13.04	 S2
13.42	 13.48	 S2
13.82	 13.88	 S2
14.02	 14.10	 S2
15.26	 15.34	 S2
16.08	 16.16	 S2
17.24	 17.30	 S2
19.16	 19.28	 S2
19.80	 19.86	 S2
